track_popularity,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,album_songs,popular,genre_pop,genre_rap,genre_dance pop,genre_hip hop,genre_pop rap,genre_rock,genre_r&b,genre_trap,genre_urban contemporary,genre_southern hip hop,genre_modern rock,genre_electro,genre_edm,genre_canadian pop,genre_house
81,71,0.853,0.606,0.0,66.0,1.0,0.0713,0.0561,0.0,0.313,0.654,94.759,227600.0,2,True,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
73,69,0.514,0.911,1.0,30.0,0.0,0.41,0.0559,0.0,0.775,0.619,161.109,254027.0,3,False,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
84,88,0.78,0.768,6.0,63.0,0.0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404107.0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
80,71,0.766,0.563,9.0,87.0,0.0,0.0339,0.0263,0.683,0.115,0.964,126.007,230640.0,2,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,75,0.754,0.811,5.0,56.0,1.0,0.0561,0.0185,5.18e-06,0.654,0.639,109.902,267960.0,1,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,75,0.623,0.607,10.0,70.0,1.0,0.0353,0.147,3.29e-06,0.227,0.614,89.654,243160.0,2,False,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
81,85,0.794,0.832,1.0,68.0,0.0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,196160.0,2,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,66,0.643,0.849,2.0,73.0,1.0,0.0526,0.0371,0.0,0.058,0.903,162.152,165853.0,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
81,71,0.481,0.638,0.0,76.0,1.0,0.0276,0.153,0.0,0.154,0.497,79.064,259933.0,1,True,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
83,73,0.843,0.806,4.0,77.0,0.0,0.269,0.143,0.0,0.0771,0.613,94.948,270507.0,1,True,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
83,75,0.446,0.764,10.0,70.0,1.0,0.033,0.00135,0.0,0.099,0.543,172.094,223840.0,1,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,71,0.654,0.81,4.0,79.0,0.0,0.0288,0.00719,0.00251,0.165,0.661,114.623,200307.0,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
80,68,0.911,0.551,8.0,57.0,0.0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,265867.0,2,True,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
79,67,0.645,0.792,4.0,86.0,0.0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453.0,1,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,73,0.603,0.933,1.0,52.0,1.0,0.171,0.00591,0.0,0.206,0.709,96.306,213760.0,1,True,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
79,71,0.74,0.766,6.0,46.0,1.0,0.178,0.116,0.0,0.0406,0.807,170.531,235133.0,2,True,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
79,79,0.613,0.697,2.0,93.0,1.0,0.133,0.0194,0.0,0.332,0.476,122.746,320357.0,1,True,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
78,73,0.85,0.7,7.0,81.0,1.0,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,291782.0,1,False,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
77,70,0.568,0.844,9.0,76.0,1.0,0.0505,0.000189,0.0,0.0607,0.766,116.046,207093.0,2,False,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
77,65,0.908,0.557,8.0,62.0,0.0,0.107,0.242,0.0,0.0709,0.897,90.032,230133.0,1,False,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
77,58,0.653,0.964,9.0,62.0,0.0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,75,0.652,0.609,11.0,87.0,0.0,0.037,0.263,0.00101,0.233,0.482,95.986,210200.0,2,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,69,0.725,0.583,1.0,99.0,0.0,0.0427,0.3,0.000238,0.0665,0.762,79.984,218360.0,1,False,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
76,75,0.647,0.729,5.0,79.0,1.0,0.0236,0.0206,0.0489,0.134,0.687,94.01,249627.0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,57,0.736,0.811,9.0,62.0,0.0,0.081,0.00132,0.000142,0.107,0.609,103.502,216733.0,1,False,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
74,77,0.657,0.629,6.0,69.0,1.0,0.0782,0.194,0.0,0.254,0.726,93.985,266893.0,3,False,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
76,70,0.402,0.914,9.0,71.0,1.0,0.142,0.000579,0.0,0.065,0.626,196.505,178267.0,2,False,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
74,60,0.817,0.585,5.0,67.0,1.0,0.0301,0.439,0.0,0.147,0.916,105.014,218440.0,1,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,69,0.418,0.249,3.0,113.0,1.0,0.0301,0.841,0.661,0.112,0.213,82.803,218547.0,1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,60,0.563,0.86,8.0,87.0,1.0,0.0621,0.00834,0.0106,0.39,0.517,97.867,256240.0,1,False,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
72,77,0.663,0.694,10.0,93.0,0.0,0.171,0.0253,0.0,0.0698,0.525,167.953,340920.0,1,False,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
72,67,0.55,0.804,2.0,71.0,1.0,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,231667.0,1,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,78,0.847,0.843,5.0,55.0,0.0,0.106,0.415,0.000134,0.107,0.963,110.027,203600.0,3,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,69,0.797,0.75,0.0,97.0,1.0,0.247,0.533,0.108,0.095,0.74,177.87,211120.0,2,False,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
71,63,0.509,0.774,6.0,60.0,1.0,0.0338,0.00189,0.000549,0.143,0.0824,116.529,264707.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,56,0.667,0.773,5.0,69.0,0.0,0.0586,0.201,0.0,0.404,0.667,89.976,250707.0,1,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,80,0.854,0.673,4.0,49.0,0.0,0.185,0.038,0.000227,0.255,0.955,95.0,337733.0,1,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,55,0.51,0.48,11.0,81.0,1.0,0.0452,0.503,0.0,0.106,0.496,182.862,196987.0,2,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,57,0.33,0.905,4.0,70.0,1.0,0.0497,0.000233,8.14e-06,0.0712,0.259,163.142,228800.0,1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,55,0.382,0.416,0.0,96.0,1.0,0.0302,0.0733,0.0,0.0719,0.125,102.089,221693.0,1,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
